genome_ID	NCBI_ID	OTU	novelty_category
GCF_001263855.1	1365964	1685	known_strain
GCF_002833265.1	216816	216816	known_strain
GCF_003468555.1	28026	28026	known_strain
GCF_004334435.1	1679	216816	known_strain
GCF_003932645.1	1496	1496	known_strain
GCF_005786645.1	1496	1496	known_strain
GCF_012030445.1	1496	1496	known_strain
GCF_900692355.1	1496	1496	known_strain
GCF_002271465.1	1402	1402	known_strain
GCF_002559865.1	1396	1396	known_strain
GCF_002561355.1	1396	1396	known_strain
GCF_004365735.1	1423	1423	known_strain
GCF_001894545.1	562	562	known_strain
GCF_002195535.1	562	562	known_strain
GCF_014169915.1	562	562	known_strain
GCF_017775775.1	562	562	known_strain
GCF_003989375.1	37637	37637	known_strain
GCF_008693105.1	28028	28028	known_strain
GCF_015830695.1	1806053	1717	known_strain
GCF_903986345.1	1717	1717	known_strain
GCF_000255375.1	1161914	2130	known_strain
GCF_002205535.1	134821	134821	known_strain
GCF_006716515.1	134821	134821	known_strain
GCF_006716625.1	2130	2130	known_strain
GCF_000173535.1	564419	813	known_strain
GCF_000441695.1	907268	813	known_strain
GCF_019405225.1	83559	83559	known_strain
GCF_900118675.1	83555	83555	known_strain
GCF_000006725.1	160492	2371	known_strain
GCF_009669375.1	644357	2371	known_strain
GCF_009669425.1	644357	2371	known_strain
GCF_900129695.1	2371	2371	known_strain
GCF_000256485.1	530557	29497	known_strain
GCF_002114205.1	666	666	known_strain
GCF_015686715.1	666	666	known_strain
GCF_016403045.1	670	670	known_strain
GCF_001035795.1	287	287	known_strain
GCF_004351325.1	287	287	known_strain
GCF_900144155.1	287	287	known_strain
GCF_900580845.1	33069	33069	known_strain
GCF_001144705.1	1313	1313	known_strain
GCF_001159305.1	1313	1313	known_strain
GCF_002962065.1	1307	1307	known_strain
GCF_009928295.1	1336	1336	known_strain
GCF_000298675.1	1169409	747	known_strain
GCF_001930895.1	747	747	known_strain
GCF_004327765.1	747	747	known_strain
GCF_018162435.1	747	747	known_strain
GCF_003841845.1	487	487	known_strain
GCF_003995735.1	487	487	known_strain
GCF_900025555.1	487	487	known_strain
GCF_900035465.1	487	487	known_strain
GCF_000236515.2	1091040	1363	known_strain
GCF_001984785.1	1360	1358	known_strain
GCF_005864305.1	1360	1358	known_strain
GCF_013395015.3	1360	1358	known_strain
GCF_000022005.1	565050	155892	known_strain
GCF_002310295.2	155892	155892	known_strain
GCF_002310375.3	155892	155892	known_strain
GCF_019356235.1	155892	155892	known_strain
GCF_000748325.1	1173469	28901	known_strain
GCF_002031705.1	340190	28901	known_strain
GCF_002047515.1	913074	28901	known_strain
GCF_019334925.1	363569	28901	known_strain
GCF_002197045.1	382	382	known_strain
GCF_004002265.1	110321	110321	known_strain
GCF_004004015.1	110321	110321	known_strain
GCF_013315775.1	1041157	382	known_strain
GCF_000576165.1	627343	542	known_strain
GCF_004168345.2	542	542	known_strain
GCF_006539365.1	120045	542	known_strain
GCF_007829055.1	542	542	known_strain
GCF_001700895.1	118101	9	known_strain
GCF_005080885.1	1241865	9	known_strain
GCF_005081185.1	1258543	9	known_strain
GCF_900698975.1	2518979	9	known_strain
GCF_000346085.2	1293500	2039	known_strain
GCF_000359145.2	1293896	2039	known_strain
GCF_000359365.1	1294037	2039	known_strain
GCF_000359405.1	1294039	2039	known_strain
GCF_000765945.1	111105	111105	known_strain
GCF_002753975.1	837	837	known_strain
GCF_018207015.1	28114	28114	known_strain
GCF_900476255.1	393921	393921	known_strain
GCF_001593985.1	1121305	179628	known_strain
GCF_011019995.1	1492	1492	known_strain
GCF_013407635.1	1520	1520	known_strain
GCF_017590765.1	1502	1502	known_strain
GCF_000578815.1	1417105	1280	known_strain
GCF_000815085.1	1280	1280	known_strain
GCF_015273135.1	1282	1282	known_strain
GCF_900040125.1	1280	1280	known_strain
