GCFID	SpeciesStrain	SpeciesID	SpeciesTaxnonmy	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
GCF_001263855.1	Bifidobacterium breve MCC 1114	Bifidobacterium-breve	Bifidobacterium breve	PRJNA224116	SAMN03978798	AVQC00000000.1	na	1365964	1685	Bifidobacterium breve MCC 1114	strain=MCC 1114		latest	Contig	Major	Full	2015/8/11	ASM126385v1	Food Science and Technology Institute, Morinaga Milk Industry Co., Ltd	GCA_001263855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/855/GCF_001263855.1_ASM126385v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
GCF_002833265.1	Bifidobacterium longum	Bifidobacterium-longum	Bifidobacterium longum	PRJNA224116	SAMN07958355	PJDY00000000.1	na	216816	216816	Bifidobacterium longum	strain=APC1476		latest	Contig	Major	Full	2017/12/11	ASM283326v1	University College Cork	GCA_002833265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/833/265/GCF_002833265.1_ASM283326v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
GCF_003468555.1	Bifidobacterium pseudocatenulatum	Bifidobacterium-pseudocatenulatum	Bifidobacterium pseudocatenulatum	PRJNA224116	SAMN09736456	QSIM00000000.1	na	28026	28026	Bifidobacterium pseudocatenulatum	strain=AM33-6		latest	Scaffold	Major	Full	2018/9/6	ASM346855v1	BGI	GCA_003468555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/468/555/GCF_003468555.1_ASM346855v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum
GCF_004334435.1	Bifidobacterium longum subsp. longum	Bifidobacterium-longum	Bifidobacterium longum	PRJNA224116	SAMN06368584	SHQB00000000.1	na	1679	216816	Bifidobacterium longum subsp. longum	strain=MCC10019		latest	Contig	Major	Full	2019/3/8	ASM433443v1	Morinaga Milk Industry	GCA_004334435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/334/435/GCF_004334435.1_ASM433443v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
GCF_003932645.1	Clostridioides difficile	Clostridioides-difficile	Clostridioides difficile	PRJNA224116	SAMN10406201	RQZL00000000.1	na	1496	1496	Clostridioides difficile	strain=16-342-13560		latest	Contig	Major	Full	2018/12/10	ASM393264v1	WRAIR	GCA_003932645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/645/GCF_003932645.1_ASM393264v1	NA		na	Bacteria	norank	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
GCF_005786645.1	Clostridioides difficile	Clostridioides-difficile	Clostridioides difficile	PRJNA224116	SAMN10345088	VALF00000000.1	na	1496	1496	Clostridioides difficile	strain=WCH065050		latest	Contig	Major	Full	2019/5/22	ASM578664v1	West China Hospital, Sichuan University	GCA_005786645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/786/645/GCF_005786645.1_ASM578664v1	NA		na	Bacteria	norank	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
GCF_012030445.1	Clostridioides difficile	Clostridioides-difficile	Clostridioides difficile	PRJNA224116	SAMN13703020	JAATWQ000000000.1	na	1496	1496	Clostridioides difficile	strain=OC101		latest	Contig	Major	Full	2020/4/4	ASM1203044v1	University of Sao Paulo	GCA_012030445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/030/445/GCF_012030445.1_ASM1203044v1	NA		na	Bacteria	norank	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
GCF_900692355.1	Clostridioides difficile	Clostridioides-difficile	Clostridioides difficile	PRJNA224116	SAMEA1710544	CAADES000000000.1	na	1496	1496	Clostridioides difficile	strain=SWE009		latest	Contig	Major	Full	2019/2/21	9221_6#43	SC	GCA_900692355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/692/355/GCF_900692355.1_9221_6_43	NA		na	Bacteria	norank	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
GCF_002271465.1	Bacillus licheniformis	Bacillus-licheniformis	Bacillus licheniformis	PRJNA224116	SAMN07372728	NPCY00000000.1	na	1402	1402	Bacillus licheniformis	strain=7727		latest	Contig	Major	Full	2017/8/28	assembly-7727_v1	Bielefeld University	GCA_002271465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/271/465/GCF_002271465.1_assembly-7727_v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
GCF_002559865.1	Bacillus cereus	Bacillus-cereus	Bacillus cereus	PRJNA224116	SAMN07597597	NTQG00000000.1	na	1396	1396	Bacillus cereus	strain=AFS026918		latest	Scaffold	Major	Full	2017/10/16	ASM255986v1	UNC Chapel Hill	GCA_002559865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/559/865/GCF_002559865.1_ASM255986v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
